P_Pos, P_Vel, Alt_1, Altitude, Pressure, Acc_X, Acc_Y, Acc_Z
0.22,0.03,0.26,0.26,1006.68,0.01,-0.03,-0.00
0.22,0.03,0.25,0.25,1006.68,0.01,-0.02,-0.00
0.22,0.03,0.25,0.25,1006.68,0.01,-0.02,-0.01
0.22,0.03,0.30,0.30,1006.67,0.01,-0.02,-0.00
0.22,0.03,0.30,0.30,1006.67,0.01,-0.02,-0.00
0.22,0.03,0.31,0.31,1006.67,0.01,-0.02,0.00
0.22,0.03,0.31,0.31,1006.67,0.01,-0.02,-0.01
0.22,0.03,0.25,0.25,1006.68,0.01,-0.02,-0.00
0.22,0.03,0.25,0.25,1006.68,0.01,-0.02,0.00
0.23,0.03,0.25,0.25,1006.68,0.01,-0.03,0.00
0.23,0.03,0.25,0.25,1006.68,0.01,-0.02,-0.00
0.23,0.03,0.33,0.33,1006.67,0.01,-0.02,-0.00
0.23,0.03,0.33,0.33,1006.67,0.02,-0.02,0.00
0.23,0.03,0.29,0.29,1006.67,0.02,-0.02,0.00
0.23,0.03,0.29,0.29,1006.67,0.02,-0.02,-0.00
0.23,0.03,0.27,0.27,1006.68,0.02,-0.02,0.00
0.23,0.04,0.27,0.27,1006.68,0.01,-0.02,0.00
0.23,0.04,0.32,0.32,1006.67,0.01,-0.02,0.00
0.24,0.04,0.32,0.32,1006.67,0.01,-0.02,0.00
0.24,0.04,0.29,0.29,1006.67,0.01,-0.02,0.00
0.24,0.04,0.29,0.29,1006.67,0.02,-0.02,0.00
0.24,0.04,0.32,0.32,1006.67,0.01,-0.03,0.00
0.24,0.04,0.32,0.32,1006.67,0.01,-0.02,-0.00
0.24,0.04,0.29,0.29,1006.67,0.01,-0.01,-0.00
0.24,0.04,0.29,0.29,1006.67,0.01,-0.02,0.00
0.24,0.04,0.29,0.29,1006.67,0.01,-0.02,0.00
0.24,0.04,0.29,0.29,1006.67,0.01,-0.02,0.00
0.24,0.04,0.29,0.29,1006.67,0.01,-0.02,-0.00
0.25,0.04,0.36,0.36,1006.66,0.00,-0.02,0.00
0.25,0.04,0.36,0.36,1006.66,0.01,-0.01,-0.00
0.25,0.04,0.36,0.36,1006.66,0.01,-0.02,-0.01
0.25,0.04,0.36,0.36,1006.66,0.01,-0.02,-0.00
0.25,0.04,0.32,0.32,1006.67,0.01,-0.02,0.00
0.25,0.04,0.32,0.32,1006.67,0.01,-0.01,-0.00
0.25,0.04,0.26,0.26,1006.68,0.01,-0.02,-0.00
0.25,0.04,0.26,0.26,1006.68,0.01,-0.02,-0.00
0.26,0.04,0.30,0.30,1006.67,0.01,-0.02,-0.00
0.26,0.03,0.30,0.30,1006.67,0.01,-0.02,-0.00
0.26,0.03,0.30,0.30,1006.67,0.00,-0.02,-0.00
0.26,0.03,0.30,0.30,1006.67,0.00,-0.02,-0.00
0.26,0.03,0.30,0.30,1006.67,0.01,-0.02,-0.00
0.26,0.04,0.30,0.30,1006.67,0.01,-0.02,0.01
0.26,0.03,0.26,0.26,1006.68,0.01,-0.02,-0.00
0.26,0.03,0.26,0.26,1006.68,0.01,-0.01,-0.01
0.26,0.03,0.31,0.31,1006.67,0.01,-0.01,-0.00
0.26,0.03,0.31,0.31,1006.67,0.00,-0.02,-0.00
0.26,0.03,0.27,0.27,1006.68,0.01,-0.02,0.00
0.26,0.03,0.27,0.27,1006.68,0.01,-0.01,0.00
0.26,0.03,0.21,0.21,1006.68,0.01,-0.02,0.00
0.27,0.03,0.21,0.21,1006.68,0.01,-0.02,-0.00
0.27,0.03,0.25,0.25,1006.68,0.00,-0.02,-0.00
0.27,0.03,0.25,0.25,1006.68,-0.00,-0.02,-0.00
0.27,0.03,0.25,0.25,1006.68,0.00,-0.01,-0.00
0.27,0.03,0.25,0.25,1006.68,0.01,-0.01,0.00
0.27,0.03,0.23,0.23,1006.68,-0.00,-0.02,-0.00
0.27,0.03,0.23,0.23,1006.68,0.01,-0.02,0.00
0.27,0.03,0.23,0.23,1006.68,0.01,-0.02,0.00
0.27,0.03,0.23,0.23,1006.68,0.00,-0.02,0.00
0.27,0.03,0.19,0.19,1006.69,0.01,-0.02,0.00
0.27,0.03,0.19,0.19,1006.69,0.01,-0.02,0.00
0.27,0.03,0.18,0.18,1006.69,0.01,-0.02,0.00
0.27,0.03,0.18,0.18,1006.69,-0.00,-0.02,-0.00
0.27,0.03,0.22,0.22,1006.68,0.00,-0.02,0.00
0.27,0.03,0.22,0.22,1006.68,0.01,-0.02,-0.00
0.27,0.03,0.18,0.18,1006.69,0.00,-0.02,0.00
0.27,0.03,0.18,0.18,1006.69,0.00,-0.02,-0.00
0.27,0.03,0.18,0.18,1006.69,0.00,-0.02,0.00
0.27,0.03,0.18,0.18,1006.69,0.00,-0.01,-0.00
0.27,0.03,0.18,0.18,1006.69,0.01,-0.01,0.01
0.27,0.03,0.18,0.18,1006.69,0.00,-0.01,0.00
0.27,0.03,0.21,0.21,1006.68,0.00,-0.02,-0.00
0.27,0.03,0.21,0.21,1006.68,0.01,-0.02,-0.00
0.27,0.03,0.21,0.21,1006.68,0.01,-0.02,0.00
0.27,0.03,0.21,0.21,1006.68,0.00,-0.02,-0.01
0.27,0.03,0.21,0.21,1006.68,0.00,-0.02,-0.00
0.27,0.03,0.21,0.21,1006.68,0.00,-0.02,-0.00
0.27,0.03,0.26,0.26,1006.68,-0.00,-0.01,-0.00
0.27,0.03,0.26,0.26,1006.68,0.00,-0.02,-0.00
0.27,0.03,0.28,0.28,1006.67,0.00,-0.02,0.00
0.27,0.03,0.28,0.28,1006.67,0.00,-0.02,0.00
0.27,0.03,0.28,0.28,1006.67,-0.00,-0.02,0.01
0.27,0.03,0.28,0.28,1006.67,0.00,-0.01,-0.00
0.27,0.03,0.29,0.29,1006.67,0.00,-0.02,0.00
0.27,0.03,0.29,0.29,1006.67,-0.00,-0.02,0.00
0.28,0.03,0.29,0.29,1006.67,0.00,-0.01,-0.00
0.28,0.03,0.19,0.19,1006.69,-0.00,-0.02,0.00
0.28,0.03,0.19,0.19,1006.69,0.01,-0.02,-0.00
0.28,0.03,0.21,0.21,1006.68,0.01,-0.01,0.00
0.28,0.03,0.21,0.21,1006.68,0.00,-0.01,-0.00
0.27,0.03,0.14,0.14,1006.69,-0.00,-0.02,0.00
0.27,0.03,0.14,0.14,1006.69,0.01,-0.02,-0.01
0.27,0.03,0.14,0.14,1006.69,0.00,-0.01,0.00
0.27,0.03,0.14,0.14,1006.69,0.00,-0.01,0.00
0.27,0.03,0.08,0.08,1006.70,0.00,-0.01,0.00
0.27,0.03,0.08,0.08,1006.70,0.00,-0.02,0.00
0.27,0.03,0.08,0.08,1006.70,0.00,-0.02,0.00
0.27,0.03,0.08,0.08,1006.70,0.00,-0.01,-0.00
0.27,0.03,0.15,0.15,1006.69,0.01,-0.01,0.00
0.27,0.03,0.15,0.15,1006.69,-0.00,-0.01,-0.00
0.27,0.03,0.15,0.15,1006.69,0.01,-0.01,-0.00
0.27,0.03,0.15,0.15,1006.69,-0.00,-0.02,-0.00
0.27,0.03,0.18,0.18,1006.69,-0.00,-0.02,-0.00
0.27,0.03,0.18,0.18,1006.69,0.00,-0.01,-0.00
0.27,0.03,0.15,0.15,1006.69,0.00,-0.01,-0.00
0.27,0.03,0.15,0.15,1006.69,-0.00,-0.01,-0.00
0.27,0.03,0.22,0.22,1006.68,-0.00,-0.02,0.00
0.27,0.03,0.22,0.22,1006.68,0.00,-0.01,-0.00
0.27,0.03,0.14,0.14,1006.69,-0.00,-0.02,-0.00
0.27,0.03,0.14,0.14,1006.69,-0.00,-0.01,0.00
0.27,0.03,0.14,0.14,1006.69,-0.00,-0.02,-0.00
0.27,0.03,0.14,0.14,1006.69,0.00,-0.01,0.00
0.27,0.03,0.11,0.11,1006.69,0.00,-0.02,-0.00
0.27,0.03,0.11,0.11,1006.69,0.00,-0.02,-0.00
0.27,0.03,0.15,0.15,1006.69,0.00,-0.01,0.00
0.27,0.03,0.15,0.15,1006.69,-0.01,-0.01,-0.00
0.27,0.03,0.15,0.15,1006.69,-0.00,-0.02,-0.00
0.27,0.03,0.15,0.15,1006.69,-0.01,-0.01,0.01
0.27,0.03,0.15,0.15,1006.69,-0.00,-0.01,-0.00
0.27,0.03,0.15,0.15,1006.69,-0.00,-0.01,-0.00
0.27,0.03,0.18,0.18,1006.69,-0.00,-0.01,-0.00
0.27,0.03,0.18,0.18,1006.69,-0.01,-0.01,0.00
0.27,0.03,0.18,0.18,1006.69,0.01,-0.01,0.00
0.27,0.03,0.18,0.18,1006.69,-0.00,-0.02,0.00
0.27,0.03,0.18,0.18,1006.69,-0.01,-0.01,-0.01
0.27,0.03,0.18,0.18,1006.69,-0.00,-0.01,0.00
0.26,0.03,0.18,0.18,1006.69,0.00,-0.01,-0.00
0.26,0.03,0.18,0.18,1006.69,-0.00,-0.02,-0.00
0.26,0.03,0.19,0.19,1006.69,0.00,-0.02,-0.00
0.26,0.03,0.19,0.19,1006.69,-0.00,-0.01,0.00
0.26,0.03,0.21,0.21,1006.68,0.00,-0.01,0.00
0.27,0.03,0.21,0.21,1006.68,-0.01,-0.02,-0.00
0.27,0.03,0.19,0.19,1006.69,-0.00,-0.01,-0.00
0.26,0.03,0.19,0.19,1006.69,-0.00,-0.01,0.00
0.26,0.02,0.18,0.18,1006.69,-0.01,-0.01,-0.01
0.26,0.02,0.18,0.18,1006.69,-0.00,-0.01,-0.00
0.26,0.02,0.15,0.15,1006.69,-0.01,-0.01,0.00
0.26,0.02,0.15,0.15,1006.69,-0.01,-0.01,0.00
0.26,0.02,0.12,0.12,1006.69,-0.01,-0.02,0.00
0.26,0.02,0.12,0.12,1006.69,-0.00,-0.01,0.00
0.26,0.02,0.11,0.11,1006.69,-0.01,-0.01,0.00
0.26,0.02,0.11,0.11,1006.69,-0.00,-0.01,-0.01
0.26,0.02,0.11,0.11,1006.69,-0.00,-0.01,-0.01
0.26,0.02,0.14,0.14,1006.69,-0.00,-0.02,0.00
0.26,0.02,0.14,0.14,1006.69,-0.00,-0.01,-0.00
0.26,0.02,0.16,0.16,1006.69,-0.00,-0.01,-0.01
0.26,0.02,0.16,0.16,1006.69,-0.00,-0.01,-0.00
0.26,0.02,0.12,0.12,1006.69,-0.00,-0.01,-0.00
0.26,0.02,0.12,0.12,1006.69,-0.00,-0.01,0.00
0.26,0.02,0.12,0.12,1006.69,0.00,-0.01,0.01
0.26,0.02,0.12,0.12,1006.69,-0.00,-0.01,0.00
0.26,0.02,0.11,0.11,1006.69,-0.00,-0.01,-0.00
0.26,0.02,0.11,0.11,1006.69,-0.00,-0.01,-0.00
0.26,0.02,0.15,0.15,1006.69,-0.00,-0.01,0.00
0.26,0.02,0.15,0.15,1006.69,-0.00,-0.01,0.00
0.26,0.02,0.15,0.15,1006.69,-0.00,-0.01,-0.00
0.26,0.02,0.15,0.15,1006.69,-0.00,-0.01,-0.00
0.26,0.02,0.14,0.14,1006.69,-0.01,-0.01,0.00
0.26,0.02,0.14,0.14,1006.69,-0.00,-0.01,0.00
0.25,0.02,0.14,0.14,1006.69,-0.00,-0.01,-0.00
0.25,0.02,0.14,0.14,1006.69,-0.00,-0.01,0.01
0.25,0.02,0.15,0.15,1006.69,-0.00,-0.02,-0.00
0.25,0.02,0.15,0.15,1006.69,-0.00,-0.01,-0.00
0.25,0.02,0.16,0.16,1006.69,-0.00,-0.01,0.00
0.25,0.02,0.16,0.16,1006.69,-0.01,-0.01,-0.01
0.25,0.02,0.21,0.21,1006.68,-0.01,-0.01,-0.00
0.25,0.02,0.21,0.21,1006.68,-0.00,-0.01,0.00
0.25,0.02,0.23,0.23,1006.68,-0.01,-0.01,0.00
0.25,0.02,0.23,0.23,1006.68,-0.01,-0.00,0.00
0.25,0.02,0.22,0.22,1006.68,-0.01,-0.01,-0.00
0.25,0.02,0.22,0.22,1006.68,-0.01,-0.01,0.00
0.25,0.02,0.21,0.21,1006.68,-0.01,-0.01,-0.00
0.25,0.02,0.21,0.21,1006.68,-0.01,-0.01,0.00
0.25,0.02,0.25,0.25,1006.68,-0.01,-0.01,0.00
0.25,0.02,0.25,0.25,1006.68,-0.00,-0.01,-0.00
0.26,0.02,0.26,0.26,1006.68,-0.01,-0.01,-0.00
0.26,0.02,0.26,0.26,1006.68,-0.00,-0.01,-0.00
0.26,0.02,0.28,0.28,1006.67,-0.01,-0.01,-0.00
0.26,0.02,0.28,0.28,1006.67,-0.01,-0.01,0.00
0.26,0.02,0.30,0.30,1006.67,-0.00,-0.01,0.00
0.26,0.02,0.30,0.30,1006.67,-0.00,-0.01,0.00
0.26,0.02,0.26,0.26,1006.68,-0.01,-0.01,0.01
0.26,0.02,0.26,0.26,1006.68,-0.01,-0.01,-0.00
0.26,0.02,0.29,0.29,1006.67,-0.01,-0.01,0.00
0.26,0.02,0.29,0.29,1006.67,-0.01,-0.01,0.00
0.26,0.02,0.28,0.28,1006.67,-0.01,-0.01,0.01
0.26,0.02,0.28,0.28,1006.67,-0.01,-0.01,-0.00
0.26,0.02,0.21,0.21,1006.68,-0.01,-0.01,0.00
0.26,0.02,0.21,0.21,1006.68,-0.01,-0.01,-0.00
0.26,0.02,0.15,0.15,1006.69,-0.01,-0.01,0.00
0.26,0.02,0.15,0.15,1006.69,-0.01,-0.00,0.00
0.26,0.02,0.13,0.13,1006.69,-0.00,-0.01,0.00
0.26,0.02,0.13,0.13,1006.69,-0.00,-0.01,-0.00
0.26,0.02,0.15,0.15,1006.69,-0.01,-0.00,0.01
0.26,0.02,0.15,0.15,1006.69,-0.00,-0.01,-0.00
0.26,0.02,0.14,0.14,1006.69,-0.01,-0.01,-0.00
0.26,0.02,0.14,0.14,1006.69,-0.01,-0.01,-0.00
0.26,0.02,0.08,0.08,1006.69,-0.01,-0.01,-0.00
0.26,0.02,0.08,0.08,1006.70,-0.01,-0.01,-0.00
0.26,0.02,0.08,0.08,1006.70,-0.01,-0.00,0.00
0.26,0.02,0.08,0.08,1006.70,-0.01,-0.01,0.00
0.26,0.02,0.08,0.08,1006.70,-0.01,-0.01,0.01
0.26,0.02,0.07,0.07,1006.70,-0.01,-0.01,-0.00
0.25,0.03,0.07,0.07,1006.70,-0.01,-0.01,0.01
0.25,0.02,0.08,0.08,1006.70,-0.01,-0.01,-0.00
0.25,0.02,0.08,0.08,1006.70,-0.01,-0.01,0.00
0.25,0.03,0.15,0.15,1006.69,-0.00,-0.01,0.00
0.25,0.03,0.15,0.15,1006.69,-0.00,-0.01,0.00
0.25,0.03,0.15,0.15,1006.69,-0.01,-0.01,-0.00
0.25,0.03,0.15,0.15,1006.69,-0.01,-0.01,0.00
0.25,0.03,0.17,0.17,1006.69,-0.01,-0.01,0.00
0.25,0.03,0.17,0.17,1006.69,-0.01,-0.01,-0.00
0.25,0.03,0.19,0.19,1006.68,-0.01,-0.01,0.00
0.25,0.03,0.19,0.19,1006.68,-0.01,-0.01,-0.00
0.25,0.03,0.22,0.22,1006.68,-0.01,-0.01,0.00
0.25,0.03,0.22,0.22,1006.68,-0.01,-0.00,0.00
0.25,0.03,0.21,0.21,1006.68,-0.02,-0.01,-0.00
0.25,0.03,0.21,0.21,1006.68,-0.01,-0.01,0.00
